state,govAffiliation,govName
AL,R,Kay Ivey
AK,R,Mike Dunleavy
AZ,R,Doug Ducey
AR,R,Asa Hutchinson
CA,D,Gavin Newsom
CO,D,Jared Polis
CT,D,Ned Lamont
DE,D,John Carney
FL,R,Ron DeSantis
GA,R,Brian Kemp
HI,D,David Ige
ID,R,Brad Little
IL,D,J.B. Pritzker
IN,R,Eric Holcomb
IA,R,Kim Reynolds
KS,D,Laura Kelly
KY,D,Andy Beshear
LA,D,John Bel Edwards
ME,D,Janet Mills
MD,R,Larry Hogan
MA,R,Charlie Baker
MI,D,Gretchen Whitmer
MN,D,Tim Walz
MS,R,Tate Reeves
MO,R,Mike Parson
MT,D,Steve Bullock
NE,R,Pete Ricketts
NV,D,Steve Sisolak
NH,R,Chris Sununu
NJ,D,Phil Murphy
NM,D,Michelle Lujan Grisham
NY,D,Andrew Cuomo
NC,D,Roy Cooper
ND,R,Doug Burgum
OH,R,Mike DeWine
OK,R,Kevin Stitt
OR,D,Kate Brown
PA,D,Tom Wolf
RI,D,Gina Raimondo
SC,R,Henry McMaster
SD,R,Kristi Noem
TN,R,Bill Lee
TX,R,Greg Abbott
UT,R,Gary Herbert
VT,R,Phil Scott
VA,D,Ralph Northam
WA,D,Jay Inslee
WV,R,Jim Justice
WI,D,Tony Evers
WY,R,Mark Gordon
